Ticker,Name,Market Cap,GICS Sector,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,Cntry Terrtry Of Dom,Security
GRVY US Equity,GRAVITY CO LTD-SPONSORED ADR,"452164920,88","50,00",Communications,Media,Entertainment Content,Video Games,Mobile & Online Games,KR,Gravity Co Ltd
DDI US Equity,DOUBLEDOWN INTERACTIVE -ADR,"469271090,03","50,00",Communications,Media,Entertainment Content,Video Games,Mobile & Online Games,KR,DoubleDown Interactive Co Ltd
TOYO US Equity,TOYO CO LTD,"237425347,73","45,00",Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment,Solar Energy Equipment,JP,Toyo Co Ltd
IGIC US Equity,INTERNATIONAL GENERAL INSURA,"1083065563,68","40,00",Financials,Insurance,Insurance,Reinsurance,#N/A N/A,JO,International General Insuranc
NVCR US Equity,NOVOCURE LTD,"1351653433,16","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,JE,Novocure Ltd
GAMB US Equity,GAMBLING.COM GROUP LTD,"315699840,29","50,00",Communications,Media,Advertising & Marketing,Advertising & Marketing,Advertising Agencies & Svcs,JE,Gambling.com Group Ltd
IVG IM Equity,IVECO GROUP NV,"4978158667,00","20,00",Industrials,Industrial Products,Transportation Equipment,Commercial Vehicles,#N/A N/A,IT,Iveco Group NV
DIA IM Equity,DIASORIN SPA,"4741055298,18","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,In Vitro Diagnostics,IT,DiaSorin SpA
PST IM Equity,POSTE ITALIANE SPA,"26357299800,00","40,00",Industrials,Industrial Services,Transportation & Logistics,Courier Services,#N/A N/A,IT,Poste Italiane SpA
HER IM Equity,HERA SPA,"5490439814,07","55,00",Utilities,Utilities,Gas & Water Utilities,Gas Utilities,Gas Distribution,IT,Hera SpA
IP IM Equity,INTERPUMP GROUP SPA,"4376947618,80","20,00",Industrials,Industrial Products,Machinery,Flow Control Equipment,Fluid Power Pump & Motor,IT,Interpump Group SpA
BGN IM Equity,BANCA GENERALI SPA,"5930220577,75","40,00",Financials,Financial Services,Asset Management,Wealth Management,Private Banking,IT,Banca Generali SpA
PRY IM Equity,PRYSMIAN SPA,"22368994507,44","20,00",Industrials,Industrial Products,Electrical Equipment,Electrical Components,Wire & Cable,IT,Prysmian SpA
FBK IM Equity,FINECOBANK SPA,"11610757469,19","40,00",Financials,Banking,Banking,Banks,#N/A N/A,IT,FinecoBank Banca Fineco SpA
REC IM Equity,RECORDATI INDUSTRIA CHIMICA,"10822226823,00","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,IT,Recordati Industria Chimica e
ENEL IM Equity,ENEL SPA,"81119939289,13","55,00",Utilities,Utilities,Electric Utilities,Power Generation,#N/A N/A,IT,Enel SpA
MB IM Equity,MEDIOBANCA SPA,"17200865422,35","40,00",Financials,Banking,Banking,Banks,Retail Banking,IT,Mediobanca Banca di Credito Fi
UNI IM Equity,UNIPOL ASSICURAZIONI SPA,"13115415726,24","40,00",Financials,Insurance,Insurance,P&C Insurance,P&C Insurance Premiums,IT,Unipol Assicurazioni SpA
ISP IM Equity,INTESA SANPAOLO,"97724347379,99","40,00",Financials,Banking,Banking,Banks,Retail Banking,IT,Intesa Sanpaolo SpA
BMPS IM Equity,BANCA MONTE DEI PASCHI SIENA,"10279068000,96","40,00",Financials,Banking,Banking,Banks,Retail Banking,IT,Banca Monte dei Paschi di Sien
CPR IM Equity,DAVIDE CAMPARI-MILANO NV,"8086966503,18","30,00",Consumer Staples,Consumer Staple Products,Beverages,Alcoholic Beverages,Distillers,IT,Davide Campari-Milano NV
NEXI IM Equity,NEXI SPA,"6687325206,90","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,IT,Nexi SpA
TRN IM Equity,TERNA-RETE ELETTRICA NAZIONA,"17285931200,00","55,00",Utilities,Utilities,Electric Utilities,Electric Transmission & Dist,Electric Transmission,IT,Terna - Rete Elettrica Naziona
IG IM Equity,ITALGAS SPA,"7716735633,56","55,00",Utilities,Utilities,Gas & Water Utilities,Gas Utilities,Gas Distribution,IT,Italgas SpA
MONC IM Equity,MONCLER SPA,"12654814181,70","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,#N/A N/A,IT,Moncler SpA
A2A IM Equity,A2A SPA,"6795271545,81","55,00",Utilities,Utilities,Electric Utilities,Power Generation,#N/A N/A,IT,A2A SpA
BAMI IM Equity,BANCO BPM SPA,"18053395031,29","40,00",Financials,Banking,Banking,Banks,#N/A N/A,IT,Banco BPM SpA
SPM IM Equity,SAIPEM SPA,"4693726139,42","10,00",Energy,Oil & Gas,Oil & Gas Services & Equip,Oilfield Services & Equipment,#N/A N/A,IT,Saipem SpA
BZU IM Equity,BUZZI SPA,"8402352837,48","15,00",Materials,Materials,Construction Materials,Cement & Aggregates,Cement,IT,Buzzi SpA
G IM Equity,GENERALI,"52987146517,37","40,00",Financials,Insurance,Insurance,Life Insurance,#N/A N/A,IT,Generali
ENI IM Equity,ENI SPA,"47037844924,07","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Integrated Oils,#N/A N/A,IT,Eni SpA
BPSO IM Equity,BANCA POPOLARE DI SONDRIO,"5655987568,08","40,00",Financials,Banking,Banking,Banks,Corporate Banking,IT,Banca Popolare di Sondrio SPA
BPE IM Equity,BPER BANCA SPA,"17681239473,55","40,00",Financials,Banking,Banking,Banks,Retail Banking,IT,BPER Banca SPA
UCG IM Equity,UNICREDIT SPA,"106731903059,52","40,00",Financials,Banking,Banking,Banks,#N/A N/A,IT,UniCredit SpA
AMP IM Equity,AMPLIFON SPA,"3359607120,80","35,00",Health Care,Health Care,Medical Equipment & Devices,Health Care Supplies,#N/A N/A,IT,Amplifon SpA
REY IM Equity,REPLY SPA,"4601605644,00","45,00",Technology,Software & Tech Services,IT Services,IT Services,IT Services - Commercial,IT,Reply SpA
RACE IM Equity,FERRARI NV,"71133958186,45","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Automobiles,#N/A N/A,IT,Ferrari NV
BMED IM Equity,BANCA MEDIOLANUM SPA,"12761015013,92","40,00",Financials,Banking,Banking,Banks,#N/A N/A,IT,Banca Mediolanum SpA
AZM IM Equity,AZIMUT HOLDING SPA,"4412238507,60","40,00",Financials,Financial Services,Asset Management,Investment Management,#N/A N/A,IT,Azimut Holding SpA
BC IM Equity,BRUNELLO CUCINELLI SPA,"6596000000,00","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,Family Clothing Stores,IT,Brunello Cucinelli SpA
LDO IM Equity,LEONARDO SPA,"28508595977,45","20,00",Industrials,Industrial Products,Aerospace & Defense,Defense,Electronics & Mission Systems,IT,Leonardo SpA
INW IM Equity,INFRASTRUTTURE WIRELESS ITAL,"9710293904,20","50,00",Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const,IT,Infrastrutture Wireless Italia
TIT IM Equity,TELECOM ITALIA SPA,"10386783739,47","50,00",Communications,Telecommunications,Telecommunications,Wireline Telecommunications,#N/A N/A,IT,Telecom Italia SpA/Milano
SRG IM Equity,SNAM SPA,"17429408597,47","55,00",Utilities,Utilities,Gas & Water Utilities,Gas Utilities,Gas Transmission & Storage,IT,Snam SpA
RNW US Equity,RENEW ENERGY GLOBAL PLC-A,"2991916594,35","55,00",Utilities,Utilities,Electric Utilities,Power Generation,Renewable Energy Generation,IN,ReNew Energy Global PLC
SIFY US Equity,SIFY TECHNOLOGIES-SPON ADR,"625107480,84","50,00",Technology,Software & Tech Services,IT Services,IT Services,#N/A N/A,IN,Sify Technologies Ltd
MMYT US Equity,MAKEMYTRIP LTD,"9464310701,04","25,00",Communications,Media,Internet Media & Services,Internet Media & Services,Travel Info & Booking Web,IN,MakeMyTrip Ltd
RDCM US Equity,RADCOM LTD,"210785486,14","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Telecommunications Equipment,IL,RADCOM Ltd
TSEM US Equity,TOWER SEMICONDUCTOR LTD,"5503921233,87","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,#N/A N/A,IL,Tower Semiconductor Ltd
ALLT US Equity,ALLOT LTD,"343118121,31","45,00",Communications,Telecommunications,Telecommunications,Wireline Telecommunications,Wireline Internet Services,IL,Allot Ltd
NYAX US Equity,NAYAX LTD,"1691994396,23","45,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,IL,Nayax Ltd
KRNT US Equity,KORNIT DIGITAL LTD,"699403385,12","20,00",Industrials,Industrial Products,Machinery,Other Machinery & Equipment,Printing Machinery & Equip,IL,Kornit Digital Ltd
NICE US Equity,NICE LTD - SPON ADR,"8657638818,68","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Cloud & Virtualization Software,IL,Nice Ltd
AUDC US Equity,AUDIOCODES LTD,"289425764,27","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Telecommunications Equipment,IL,AudioCodes Ltd
CLBT US Equity,CELLEBRITE DI LTD,"3869836165,38","45,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,IL,Cellebrite DI Ltd
ETOR US Equity,ETORO GROUP LTD-A,"3986821037,85","40,00",Financials,Financial Services,Asset Management,Wealth Management,Retail Securities Brokerage,IL,Etoro Group Ltd
GLBE US Equity,GLOBAL-E ONLINE LTD,"5524583514,11","25,00",Technology,Software & Tech Services,Software,Application Software,Content & Collaboration Software,IL,Global-e Online Ltd
CYBR US Equity,CYBERARK SOFTWARE LTD/ISRAEL,"20827064346,17","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Security Software,IL,CyberArk Software Ltd
FORTY US Equity,FORMULA SYSTEMS 1985-SP ADR,"1916430015,58","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,IL,Formula Systems 1985 Ltd
CHKP US Equity,CHECK POINT SOFTWARE TECH,"20250932524,56","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Security Software,IL,Check Point Software Technolog
MBLY US Equity,MOBILEYE GLOBAL INC-A,"11744217684,55","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Auto Electrical & Electronics,IL,Mobileye Global Inc
PERI US Equity,PERION NETWORK LTD,"421322798,28","50,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,IL,Perion Network Ltd
WILC US Equity,G. WILLI-FOOD INTERNATIONAL,"303410320,32","30,00",Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,Food & Drug Stores,Specialty Food & Staples Stores,IL,G Willi-Food International Ltd
NVMI US Equity,NOVA LTD,"7625713563,36","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,Front End Capital Equipment,IL,Nova Ltd
NNDM US Equity,NANO DIMENSION LTD - ADR,"299851195,84","20,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Specialty Technology Hardware,3D Printers,IL,Nano Dimension Ltd
ODD US Equity,ODDITY TECH LTD-CL A,"3463028822,58","30,00",Consumer Staples,Consumer Staple Products,Household Products,Personal Care Products,Cosmetics,IL,Oddity Tech Ltd
BWAY US Equity,BRAINSWAY LTD-ADR,"280691692,66","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,#N/A N/A,IL,Brainsway Ltd
PLTK US Equity,PLAYTIKA HOLDING CORP,"1405480686,34","50,00",Communications,Media,Entertainment Content,Video Games,Mobile & Online Games,IL,Playtika Holding Corp
WIX US Equity,WIX.COM LTD,"7168391003,82","45,00",Technology,Software & Tech Services,Software,Application Software,Content & Collaboration Software,IL,Wix.com Ltd
GILT US Equity,GILAT SATELLITE NETWORKS LTD,"496474102,12","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Telecommunications Equipment,IL,Gilat Satellite Networks Ltd
AZ US Equity,A2Z CUST2MATE SOLUTIONS CORP,"321657734,42","20,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Specialty Technology Hardware,Transaction Mgmt Systems,IL,A2Z Cust2Mate Solutions Corp
CAMT US Equity,CAMTEK LTD,"3908016169,58","45,00",Industrials,Industrial Products,Electrical Equipment,Measurement Instruments,Measuring & Control Devices,IL,Camtek Ltd/Israel
INMD US Equity,INMODE LTD,"904206938,65","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,IL,Inmode Ltd
TATT US Equity,TAT TECHNOLOGIES LTD,"514099304,02","20,00",Industrials,Industrial Products,Aerospace & Defense,Aircraft & Parts,Aircraft Parts,IL,TAT Technologies Ltd
KMDA US Equity,KAMADA LTD,"413575785,80","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,IL,Kamada Ltd
SPNS US Equity,SAPIENS INTERNATIONAL CORP,"2385266780,06","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,IL,Sapiens International Corp NV
NNOX US Equity,NANO-X IMAGING LTD,"271626138,85","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services,IL,Nano-X Imaging Ltd
CGNT US Equity,COGNYTE SOFTWARE LTD,"644007895,73","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,IL,Cognyte Software Ltd
ESLT US Equity,ELBIT SYSTEMS LTD,"21937578772,57","20,00",Industrials,Industrial Products,Aerospace & Defense,Defense,Electronics & Mission Systems,IL,Elbit Systems Ltd
RDWR US Equity,RADWARE LTD,"1083811072,21","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,#N/A N/A,IL,Radware Ltd
INVZ US Equity,INNOVIZ TECHNOLOGIES LTD,"356141895,44","45,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Auto Electrical & Electronics,IL,Innoviz Technologies Ltd
MNDY US Equity,MONDAY.COM LTD,"9088934777,46","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,IL,Monday.com Ltd
TBLA US Equity,TABOOLA.COM LTD,"976205140,07","50,00",Communications,Media,Advertising & Marketing,Advertising & Marketing,Advertising Agencies & Svcs,IL,Taboola.com Ltd
ITRN US Equity,ITURAN LOCATION AND CONTROL,"801313378,12","45,00",Industrials,Industrial Services,Transportation & Logistics,Logistics Services,#N/A N/A,IL,Ituran Location and Control Lt
SEDG US Equity,SOLAREDGE TECHNOLOGIES INC,"1850118540,82","45,00",Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment,Solar Energy Equipment,IL,SolarEdge Technologies Inc
ENLT US Equity,ENLIGHT RENEWABLE ENERGY LTD,"3306204246,79","55,00",Utilities,Utilities,Electric Utilities,Power Generation,Renewable Energy Generation,IL,Enlight Renewable Energy Ltd
NEXN US Equity,NEXXEN INTERNATIONAL LTD,"572822221,29","50,00",Communications,Media,Advertising & Marketing,Advertising & Marketing,#N/A N/A,IL,Nexxen International Ltd
MGIC US Equity,MAGIC SOFTWARE ENTERPRISES,"990332985,60","45,00",Technology,Software & Tech Services,IT Services,IT Services,IT Services - Commercial,IL,Magic Software Enterprises Ltd
DRTS US Equity,ALPHA TAU MEDICAL LTD,"229440657,53","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,Radiation Equipment,IL,Alpha Tau Medical Ltd
ICLR US Equity,ICON PLC,"13886991342,93","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Contract Research,IE,ICON PLC
GLB ID Equity,GLANBIA PLC,"3557305017,60","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,Dairy Products,IE,Glanbia PLC
PRTA US Equity,PROTHENA CORP PLC,"459169732,09","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,IE,Prothena Corp PLC
ADSE US Equity,ADS-TEC ENERGY PLC,"619147176,84","20,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Vehicle Batteries,IE,Ads-Tec Energy PLC
SW US Equity,SMURFIT WESTROCK PLC,"22409605932,44","15,00",Materials,Materials,Containers & Packaging,Containers & Packaging,Paper Containers & Packaging,IE,Smurfit WestRock PLC
AIBG ID Equity,AIB GROUP PLC,"15598397041,40","40,00",Financials,Banking,Banking,Banks,#N/A N/A,IE,AIB Group PLC
GHRS US Equity,GH RESEARCH PLC,"785912439,38","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,IE,GH Research PLC
ACN US Equity,ACCENTURE PLC-CL A,"156136207842,43","45,00",Technology,Software & Tech Services,IT Services,IT Services,IT Services - Commercial,IE,Accenture PLC
APTV US Equity,APTIV PLC,"16486595091,44","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Auto Electrical & Electronics,IE,Aptiv PLC
TEL US Equity,TE CONNECTIVITY PLC,"60189578814,96","45,00",Industrials,Industrial Products,Electrical Equipment,Electrical Components,#N/A N/A,IE,TE Connectivity PLC
TT US Equity,TRANE TECHNOLOGIES PLC,"95432388254,42","20,00",Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,HVAC Building Products,IE,Trane Technologies PLC
CMPR US Equity,CIMPRESS PLC,"1441691080,71","20,00",Industrials,Industrial Services,Commercial Support Services,Printing Services,#N/A N/A,IE,Cimpress PLC
JAZZ US Equity,JAZZ PHARMACEUTICALS PLC,"7137721943,96","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,IE,Jazz Pharmaceuticals PLC
KYGA ID Equity,KERRY GROUP PLC-A,"13038937149,74","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,Food Ingredients,IE,Kerry Group PLC
ALKS US Equity,ALKERMES PLC,"4641167341,80","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,IE,Alkermes PLC
ETN US Equity,EATON CORP PLC,"137617550000,00","20,00",Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,Power Trans & Distr Equip,IE,Eaton Corp PLC
ALLE US Equity,ALLEGION PLC,"14353537882,02","20,00",Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,Security Devices,IE,Allegion plc
PDD US Equity,PDD HOLDINGS INC,"168000957114,18","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,Specialty Online Retailers,#N/A N/A,IE,PDD Holdings Inc
AVDL US Equity,AVADEL PHARMACEUTICALS,"1308876129,27","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,IE,Avadel Pharmaceuticals PLC
BIRG ID Equity,BANK OF IRELAND GROUP PLC,"12472457873,07","40,00",Financials,Banking,Banking,Banks,#N/A N/A,IE,Bank of Ireland Group PLC
MDT US Equity,MEDTRONIC PLC,"118964291170,40","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,IE,Medtronic PLC
RYAAY US Equity,RYANAIR HOLDINGS PLC-SP ADR,"34826129996,38","20,00",Industrials,Industrial Services,Transportation & Logistics,Airlines,Low Cost Airline,IE,Ryanair Holdings PLC
AMRN US Equity,AMARIN CORP PLC -ADR,"334440489,50","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,IE,Amarin Corp PLC
KSP ID Equity,KINGSPAN GROUP PLC,"12883776849,75","20,00",Materials,Materials,Construction Materials,Building Materials,Insulation Products,IE,Kingspan Group PLC
RYA ID Equity,RYANAIR HOLDINGS PLC,"28233896405,90","20,00",Industrials,Industrial Services,Transportation & Logistics,Airlines,Low Cost Airline,IE,Ryanair Holdings PLC
ANPA US Equity,RICH SPARKLE HOLDINGS LTD,"431250000,00","20,00",Industrials,Industrial Services,Commercial Support Services,Printing Services,#N/A N/A,HK,Rich Sparkle Holdings Ltd
HCM US Equity,HUTCHMED CHINA-ADR,"2865758343,65","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,HK,HUTCHMED China Ltd
RITR US Equity,REITAR LOGTECH HOLDINGS LTD,"254146073,22","60,00",Industrials,Industrial Services,Transportation & Logistics,Logistics Services,#N/A N/A,HK,Reitar Logtech Holdings Ltd
MLCO US Equity,MELCO RESORTS & ENTERT-ADR,"3655160686,33","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Casinos & Gaming,Casinos,HK,Melco Resorts & Entertainment
WTF US Equity,WATON FINANCIAL LTD,"226716109,20","40,00",Financials,Financial Services,Asset Management,Investment Companies,Investment Holding Companies,HK,Waton Financial Ltd
RGC US Equity,REGENCELL BIOSCIENCE HOLDING,"6589064604,78","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,HK,Regencell Bioscience Holdings
ATGL US Equity,ALPHA TECHNOLOGY GROUP LTD-A,"290903241,85","45,00",Technology,Software & Tech Services,IT Services,IT Services,#N/A N/A,HK,Alpha Technology Group Ltd
SUPX US Equity,SUPER X AI TECHNOLOGY LTD,"621612680,01","25,00",Financials,Financial Services,Asset Management,Investment Companies,Investment Holding Companies,HK,Super X AI Technology Ltd
SWIN US Equity,SOLOWIN HOLDINGS,"255745549,89","40,00",Financials,Financial Services,Asset Management,Wealth Management,Retail Securities Brokerage,HK,Solowin Holdings
FUTU US Equity,FUTU HOLDINGS LTD-ADR,"24075219455,75","40,00",Financials,Financial Services,Asset Management,Wealth Management,Retail Securities Brokerage,HK,Futu Holdings Ltd
CCEC US Equity,CAPITAL CLEAN ENERGY CARRIER,"1287257857,12","20,00",Industrials,Industrial Services,Transportation & Logistics,Marine Shipping,Tanker Shipping,GR,Capital Clean Energy Carriers
GASS US Equity,STEALTHGAS INC,"262548617,37","10,00",Industrials,Industrial Services,Transportation & Logistics,Marine Shipping,Tanker Shipping,GR,StealthGas Inc
ESEA US Equity,EUROSEAS LTD,"425441489,19","20,00",Industrials,Industrial Services,Transportation & Logistics,Marine Shipping,Dry Bulk Shipping,GR,Euroseas Ltd
SBLK US Equity,STAR BULK CARRIERS CORP,"2213008054,95","20,00",Industrials,Industrial Services,Transportation & Logistics,Marine Shipping,Dry Bulk Shipping,GR,Star Bulk Carriers Corp
AFRI US Equity,FORAFRIC GLOBAL PLC,"209563400,65","30,00",Materials,Materials,Chemicals,Agricultural Chemicals,Seeds & Agriculture Biotech,GI,Forafric Global PLC
TLSA US Equity,TIZIANA LIFE SCIENCES LTD,"220842211,81","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,GB,Tiziana Life Sciences Ltd
ARQQ US Equity,ARQIT QUANTUM INC,"466669614,90","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Security Software,GB,Arqit Quantum Inc
IMCR US Equity,IMMUNOCORE HOLDINGS PLC-ADR,"1628006236,28","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,GB,Immunocore Holdings PLC
LIVN US Equity,LIVANOVA PLC,"2908599183,70","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,GB,LivaNova PLC
ARM US Equity,ARM HOLDINGS PLC-ADR,"149419777112,85","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,#N/A N/A,GB,ARM Holdings PLC
GSM US Equity,FERROGLOBE PLC,"796892465,61","15,00",Materials,Materials,Metals & Mining,Base Metals,#N/A N/A,GB,Ferroglobe PLC
RZLV US Equity,REZOLVE AI PLC,"835792829,09","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,GB,Rezolve AI PLC
MRX US Equity,MAREX GROUP PLC,"2476726450,23","40,00",Financials,Financial Services,Institutional Financial Svcs,Institutional Brokerage,Security & Commodity Brokerage,GB,Marex Group PLC
AZN US Equity,ASTRAZENECA PLC-SPONS ADR,"245380019977,35","35,00",Health Care,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A,GB,AstraZeneca PLC
BCYC US Equity,BICYCLE THERAPEUTICS PLC-ADR,"376008993,28","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,GB,Bicycle Therapeutics PLC
CMPS US Equity,COMPASS PATHWAYS PLC,"408709806,60","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,GB,Compass Pathways Plc
MREO US Equity,MEREO BIOPHARMA GROUP PL-ADR,"267282751,74","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,GB,Mereo Biopharma Group PLC
LBTYA US Equity,LIBERTY GLOBAL LTD-A,"3979619932,54","50,00",Communications,Media,Cable & Satellite,Cable & Satellite,#N/A N/A,GB,Liberty Global Ltd
AUTL US Equity,AUTOLUS THERAPEUTICS PLC,"500345851,41","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,GB,Autolus Therapeutics PLC
PNR US Equity,PENTAIR PLC,"17311140277,86","20,00",Industrials,Industrial Products,Machinery,Flow Control Equipment,Fluid Power Pump & Motor,GB,Pentair PLC
TRMD US Equity,TORM PLC-A,"2000996038,77","10,00",Industrials,Industrial Services,Transportation & Logistics,Marine Shipping,Tanker Shipping,GB,TORM PLC
AXIN US Equity,AXIOM INTELLIGENCE-CL A,"271576004,36",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,GB,Axiom Intelligence Acquisition
CCEP US Equity,COCA-COLA EUROPACIFIC PARTNE,"41160022454,26","30,00",Consumer Staples,Consumer Staple Products,Beverages,Non-Alcoholic Beverages,Carbonated Soft Drinks,GB,Coca-Cola Europacific Partners
MRNO US Equity,MURANO GLOBAL INVESTMENTS PL,"449719809,59","60,00",Real Estate,Real Estate,Real Estate Owners & Developers,Hotel Owners & Developers,#N/A N/A,GB,Murano Global Investments PLC
WTW US Equity,WILLIS TOWERS WATSON PLC,"32150841996,46","40,00",Financials,Insurance,Insurance,Insurance Brokers & Services,#N/A N/A,GB,Willis Towers Watson PLC
LBTYB US Equity,LIBERTY GLOBAL LTD-B,"3979619932,54","50,00",Communications,Media,Cable & Satellite,Cable & Satellite,#N/A N/A,GB,Liberty Global Ltd
AON US Equity,AON PLC-CLASS A,"78783488693,03","40,00",Financials,Insurance,Insurance,Insurance Brokers & Services,#N/A N/A,GB,Aon PLC
VRNA US Equity,VERONA PHARMA PLC - ADR,"9150397320,17","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,GB,Verona Pharma PLC
SLN US Equity,SILENCE THERAPEUTICS PLC-ADR,"260731397,58","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,GB,Silence Therapeutics PLC
VOD US Equity,VODAFONE GROUP PLC-SP ADR,"28258665992,22","50,00",Communications,Telecommunications,Telecommunications,Wireless Telecommunications,Wireless Service Providers,GB,Vodafone Group PLC
INDV US Equity,INDIVIOR PLC,"2922109193,92","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,GB,Indivior PLC
DGNX US Equity,DIGINEX LTD,"1406834900,43","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,GB,Diginex Ltd
LBTYK US Equity,LIBERTY GLOBAL LTD-C,"3979619932,54","50,00",Communications,Media,Cable & Satellite,Cable & Satellite,#N/A N/A,GB,Liberty Global Ltd
GRRR US Equity,GORILLA TECHNOLOGY GROUP INC,"407362183,98","45,00",Technology,Software & Tech Services,IT Services,IT Services,#N/A N/A,GB,Gorilla Technology Group Inc
ALLFG NA Equity,ALLFUNDS GROUP PLC,"3721037124,42","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Info Services,GB,Allfunds Group Plc
GET FP Equity,GETLINK SE,"9273000000,00","20,00",Industrials,Industrial Services,Transportation & Logistics,Transit Services,Passenger Rail,FR,Getlink SE
